Field_Name,Table_Name,Data_Type,Required,Optional,Complementary,Suggested_Format,Format_Notes,Quality_Level_[YOU_FILL_IN],Current_Format_[YOU_FILL_IN],Action_Needed_[YOU_FILL_IN],Notes_[YOU_FILL_IN]
defect_categories,QUALITY_ENTRY,TEXT,NO,YES,YES,"List of defect types found (categorized)","Text, semicolon-separated. Examples: 'Stitching:3; Color_Mismatch:1; Sizing:2'. Allows detailed defect analysis. Can be free-form or reference DEFECT_CATEGORY table.","","","",""
total_defects_count,QUALITY_ENTRY,INT,YES,NO,NO,"Total number of individual defects found (for DPMO calculation)","Positive integer. Examples: 15 (if 5 units have 3 defects each). If 1 defect per unit, equals units_defective. Used for DPMO = (total_defects / (units_inspected * opportunities_per_unit)) * 1,000,000.","","","",""
qc_inspector_id,QUALITY_ENTRY,VARCHAR(20),YES,NO,YES,"User ID or Employee ID of QC inspector who performed check","Foreign key to EMPLOYEE/USER table. Audit trail for quality decisions.","","","",""
recorded_by_user_id,QUALITY_ENTRY,VARCHAR(20),YES,NO,YES,"User ID who recorded this quality entry","Foreign key to USER table. May differ from qc_inspector if data entry is separate.","","","",""
recorded_at,QUALITY_ENTRY,TIMESTAMP,YES,NO,NO,"When quality data was recorded","ISO 8601: YYYY-MM-DD HH:MM:SS (UTC).","","","",""
inspection_method,QUALITY_ENTRY,ENUM,NO,YES,YES,"How inspection was performed","Allowed values: VISUAL, MEASUREMENT, FUNCTIONAL_TEST, SAMPLE_CHECK, 100_PERCENT_INSPECTION, OTHER. Indicates inspection rigor.","","","",""
sample_size_percent,QUALITY_ENTRY,DECIMAL(5,2),NO,YES,YES,"If sample inspection, what % of production was inspected?","Decimal 0-100. Examples: 5.0 (5%), 10.0 (10%), 100.0 (100%). Used with inspection_method = SAMPLE_CHECK to calculate confidence.","","","",""
notes,QUALITY_ENTRY,TEXT,NO,YES,YES,"Additional quality notes","Free text up to 500 chars. Examples: 'Defects appear to be supplier material issue', 'Operator training needed for seam strength', 'Equipment calibration required'.","","","",""
verified_by_user_id,QUALITY_ENTRY,VARCHAR(20),NO,YES,YES,"Supervisor/Lead who verified quality data","Foreign key to USER table. Optional two-person verification.","","","",""
verified_at,QUALITY_ENTRY,TIMESTAMP,NO,YES,YES,"When verified","ISO 8601: YYYY-MM-DD HH:MM:SS (UTC).","","","",""
created_at,QUALITY_ENTRY,TIMESTAMP,NO,NO,YES,"When record created","ISO 8601: YYYY-MM-DD HH:MM:SS (UTC).","","","",""
updated_at,QUALITY_ENTRY,TIMESTAMP,NO,NO,YES,"Last update","ISO 8601: YYYY-MM-DD HH:MM:SS (UTC).","","","",""
defect_detail_id,DEFECT_DETAIL,VARCHAR(50),YES,NO,NO,"System-generated unique ID for individual defect record","Format: UUID or QUALITY_ENTRY-DEFECT-SEQ. Example: '20251202-QC-001-DEFECT-001'.","","","",""
quality_entry_id_fk,DEFECT_DETAIL,VARCHAR(50),YES,NO,NO,"Foreign key to QUALITY_ENTRY","Links defect to its parent quality check.","","","",""
defect_type,DEFECT_DETAIL,ENUM,YES,NO,NO,"Category of defect (standardized list)","Allowed values: STITCHING, COLOR_MISMATCH, SIZING, MATERIAL_DEFECT, ASSEMBLY, FINISHING, PACKAGING, OTHER. Supervisors select from dropdown.","","","",""
defect_description,DEFECT_DETAIL,TEXT,YES,NO,NO,"Detailed description of specific defect","Free text up to 300 chars. Examples: 'Crooked seam on left shoulder', 'Color faded after 5 washes', 'Size label missing'.","","","",""
unit_serial_or_id,DEFECT_DETAIL,VARCHAR(50),NO,YES,YES,"Specific unit/piece identifier (if tracking individual units)","Text. Examples: 'UNIT-001', 'PIECE-123'. Allows traceability to specific item.","","","",""
is_rework_required,DEFECT_DETAIL,BOOLEAN,YES,NO,NO,"Does this defect require rework (return to previous operation)?","TRUE = rework, FALSE = repair in current operation or scrap.","","","",""
is_repair_in_current_op,DEFECT_DETAIL,BOOLEAN,YES,NO,NO,"Can this defect be repaired in current operation?","TRUE = repairable here, FALSE = must rework or scrap.","","","",""
is_scrapped,DEFECT_DETAIL,BOOLEAN,NO,YES,YES,"Was this unit scrapped (unrecoverable)?","TRUE = scrap, FALSE = recovered via rework/repair. Used for scrap rate analysis.","","","",""
root_cause,DEFECT_DETAIL,ENUM,NO,YES,YES,"Root cause analysis (if performed)","Allowed values: OPERATOR_ERROR, MATERIAL_ISSUE, EQUIPMENT_ISSUE, PROCESS_ISSUE, DESIGN_ISSUE, UNKNOWN. Useful for improvement planning.","","","",""
created_at,DEFECT_DETAIL,TIMESTAMP,NO,NO,YES,"When record created","ISO 8601: YYYY-MM-DD HH:MM:SS (UTC).","","","",""
part_number,PART_OPPORTUNITIES,VARCHAR(50),YES,NO,NO,"Part/SKU identifier","Text, alphanumeric. Must match part_number in JOB/WORK_ORDER tables. Examples: 'BOOT-ABC123', 'SOCK-XYZ789'.","","","",""
opportunities_per_unit,PART_OPPORTUNITIES,INT,YES,NO,NO,"Number of defect opportunities per unit (for DPMO calculation)","Positive integer. Examples: 1 (simple), 47 (complex garment), 10 (average). Used in DPMO formula: (total_defects / (units_inspected * opportunities_per_unit)) * 1,000,000.","","","",""
description,PART_OPPORTUNITIES,VARCHAR(500),NO,YES,YES,"Description of part and breakdown of opportunities","Free text. Example: 'Western Boot - opportunities: toe box seam (2), heel seam (2), sole adhesion (1), stitching integrity (5), fit/sizing (10), color match (2), material defects (25)'.","","","",""
updated_by_user_id,PART_OPPORTUNITIES,VARCHAR(20),NO,NO,YES,"User ID (Quality/Engineering) who last updated opportunities","Foreign key to USER table. Audit trail.","","","",""
updated_at,PART_OPPORTUNITIES,TIMESTAMP,NO,NO,YES,"Last update timestamp","ISO 8601: YYYY-MM-DD HH:MM:SS (UTC). Quality/Engineering updates as specs change.","","","",""
notes,PART_OPPORTUNITIES,TEXT,NO,YES,YES,"Notes about this part's quality expectations","Free text. Example: 'Critical check points: seams must be straight, colors must match standard, sizing per chart'.","","","",""
