Field_Name,Table_Name,Data_Type,Required,Optional,Complementary,Suggested_Format,Format_Notes,Quality_Level_[YOU_FILL_IN],Current_Format_[YOU_FILL_IN],Action_Needed_[YOU_FILL_IN],Notes_[YOU_FILL_IN]
status,WORK_ORDER,ENUM,YES,NO,NO,Current status of work order,"Allowed values: ACTIVE, ON_HOLD, COMPLETED, REJECTED, CANCELLED. Used for WIP Aging filtering. On-hold status pauses aging clock.",,,,
receipt_date,WORK_ORDER,DATE,NO,YES,YES,Date customer PO was received,ISO 8601: YYYY-MM-DD. Useful for tracking lead time and order-to-start duration.,,,,
acknowledged_date,WORK_ORDER,DATE,NO,YES,YES,Date Production Planner acknowledged order and created schedule,ISO 8601: YYYY-MM-DD. Useful for planning cycle time analysis.,,,,
priority_level,WORK_ORDER,ENUM,NO,YES,YES,"Priority designation (rush, standard, low)","Allowed values: RUSH, STANDARD, LOW. Useful for sorting and escalation. Defaults to STANDARD.",,,,
po_number,WORK_ORDER,VARCHAR(50),NO,YES,YES,Purchase order number from customer,"Text, alphanumeric. Example: 'PO-2025-12345'. Used for traceability and customer communication.",,,,
notes,WORK_ORDER,TEXT,NO,YES,YES,General notes about this work order,"Free text, up to 1000 chars. Examples: 'Special packaging required', 'Rush order - expedite', 'Quality hold - engineering review pending'.",,,,
created_by,WORK_ORDER,VARCHAR(20),NO,NO,YES,User ID who created this work order,Foreign key to USER table. Audit trail.,,,,
created_at,WORK_ORDER,TIMESTAMP,NO,NO,YES,When work order was created in system,ISO 8601: YYYY-MM-DD HH:MM:SS (UTC). System-generated.,,,,
updated_at,WORK_ORDER,TIMESTAMP,NO,NO,YES,Last update to work order,ISO 8601: YYYY-MM-DD HH:MM:SS (UTC). System-generated.,,,,
job_id,JOB,VARCHAR(50),YES,NO,NO,Unique identifier for this job (line item within work order),"Format: work_order_id + line number. Examples: '2025-12-02-BOOT-ABC123-L1', '2025-12-02-BOOT-ABC123-L2'. If single job per WO, same as work_order_id.",,,,
work_order_id_fk,JOB,VARCHAR(50),YES,NO,NO,Foreign key to WORK_ORDER table,Links job to its parent work order. One WO can have multiple jobs.,,,,
job_number,JOB,VARCHAR(50),CONDITIONAL,NO,NO,Job number (if provided by customer/production planner),"Text. May be blank if customer doesn't provide. Example: 'J-001', 'JOB-12345'. Used for traceability when provided by Production Planning.",,,,
part_number,JOB,VARCHAR(50),YES,NO,NO,Part/SKU number for this job,"Text, alphanumeric. Examples: 'BOOT-ABC123', 'SOCK-XYZ789'. Must match PART_OPPORTUNITIES table if quality tracking required.",,,,
quantity_ordered,JOB,INT,YES,NO,NO,Quantity for this specific job/line item,"Positive integer, > 0. Sum of all jobs in WO should equal work_order.planned_quantity.",,,,
quantity_completed,JOB,INT,NO,YES,YES,"Quantity successfully completed (no rework, no scrap)","Positive integer, updated as production progresses. Used for progress tracking and FPY/RTY calculations.",,,,
quantity_scrapped,JOB,INT,NO,YES,YES,Quantity determined unrecoverable during repair/rework,Non-negative integer. Tracked separately from defects during operation. Used for quality analysis.,,,,
priority_level,JOB,ENUM,NO,YES,YES,"Priority designation (rush, standard, low)","Allowed values: RUSH, STANDARD, LOW. Useful for sorting and escalation. Defaults to STANDARD.",,,,
notes,JOB,TEXT,NO,YES,YES,Job-specific notes,"Free text up to 500 chars. Examples: 'Special material required', 'Custom embroidery', 'Fits size XL-2XL'.",,,,
employee_id,EMPLOYEE,VARCHAR(20),YES,NO,NO,Unique employee identifier,"Text, alphanumeric. Examples: 'EMP-001', 'OP-12345', '123456'. Must be UNIQUE. Used for attendance, production tracking, coverage assignments.",,,,
employee_name,EMPLOYEE,VARCHAR(100),YES,NO,NO,Full name of employee,"Text, 1-100 chars. Examples: 'John Doe', 'María García'. Displayed on reports and coverage assignments.",,,,
department,EMPLOYEE,VARCHAR(50),NO,YES,YES,"Department/area (Cutting, Sewing, QC, Packing, etc.)","Text. Used for filtering employees by work area. Examples: 'CUTTING', 'SEWING', 'QC', 'ASSEMBLY'.",,,,
is_floating_pool,EMPLOYEE,BOOLEAN,YES,NO,NO,Is this employee part of the floating pool? (shared resource),TRUE or FALSE. Default: FALSE. Floating pool employees can be assigned to multiple clients/work centers.,,,,
is_support_billed,EMPLOYEE,BOOLEAN,YES,NO,NO,"Is this employee part of support (non operational hours, i.e. administrative staff not in operations)",TRUE or FALSE. Default: FALSE. Support employees directly assigned to clients/work centers.,,,,
is_support_included,EMPLOYEE,BOOLEAN,YES,NO,NO,"Is this employee part of the Support pool? (shared resource included as a service, i.e. engineering, trade compliance, purchasing, other)",TRUE or FALSE. Default: FALSE. Support pool employees can be assigned to multiple clients/work centers.,,,,
client_id_assigned,EMPLOYEE,VARCHAR(20),NO,YES,NO,Primary client/work center assignment (if not floating pool),Foreign key to CLIENT table. Only used if is_floating_pool = FALSE. Identifies primary work location.,,,,
hourly_rate,EMPLOYEE,DECIMAL(10,2),NO,YES,YES,"Hourly wage/rate for this employee (optional, for billing/cost tracking)","Decimal currency. Examples: 15.50, 22.75. Not required for KPI calculations, useful for cost analysis.",,,
is_active,EMPLOYEE,BOOLEAN,YES,NO,NO,Is this employee currently active?,"TRUE or FALSE. Set to FALSE when employee leaves, no data deletion.",,,,
created_at,EMPLOYEE,TIMESTAMP,NO,NO,YES,When employee record was created,ISO 8601: YYYY-MM-DD HH:MM:SS (UTC). System-generated.,,,,
updated_at,EMPLOYEE,TIMESTAMP,NO,NO,YES,Last update to employee record,ISO 8601: YYYY-MM-DD HH:MM:SS (UTC). System-generated.,,,,
floating_pool_id,FLOATING_POOL,VARCHAR(50),YES,NO,NO,Unique identifier for floating pool resource assignment,Format: employee_id + timestamp. Examples: 'EMP-001-20251202-143000'. Tracks availability changes over time.,,,,
employee_id_fk,FLOATING_POOL,VARCHAR(20),YES,NO,NO,Foreign key to EMPLOYEE table (must have is_floating_pool = TRUE),Links pool resource to employee record.,,,,
status,FLOATING_POOL,ENUM,YES,NO,NO,Current availability status of this floating pool resource,"Allowed values: AVAILABLE, ASSIGNED_CLIENT_A, ASSIGNED_CLIENT_B, ASSIGNED_CLIENT_C, etc. Tracks where floating employee is currently working.",,,,
assigned_to_client,FLOATING_POOL,VARCHAR(20),NO,YES,NO,Client ID where this floating employee is currently assigned (if not available),Foreign key to CLIENT table. NULL if status = AVAILABLE. Updated daily/hourly by supervisors.,,,,
assigned_by_user_id,FLOATING_POOL,VARCHAR(20),NO,YES,YES,User ID (supervisor) who made the assignment,Foreign key to USER table. Audit trail for assignment decisions.,,,,
last_updated_at,FLOATING_POOL,TIMESTAMP,YES,NO,NO,Timestamp of last status change,"ISO 8601: YYYY-MM-DD HH:MM:SS (UTC). System-generated. Used to detect stale assignments (if not updated in 24h, flag as potential error).",,,,
notes,FLOATING_POOL,TEXT,NO,YES,YES,"Notes about this assignment (why assigned, expected duration, etc.)","Free text up to 500 chars. Example: 'Covering for vacation until 2025-12-15', 'Requested by Client B due to surge'.",,,,
user_id,USER,VARCHAR(20),YES,NO,NO,Unique system user identifier,"Text, alphanumeric. Examples: 'USR-001', 'DATA-COLLECTOR-1'. Used for authentication and audit trails.",,,,
username,USER,VARCHAR(50),YES,NO,NO,Login username,"Text, 5-50 chars, no spaces. Examples: 'jsmith', 'maria_garcia'. Must be UNIQUE.",,,,
full_name,USER,VARCHAR(100),YES,NO,NO,Full name of user,"Text, 1-100 chars. Examples: 'John Smith', 'María García'.",,,,
email,USER,VARCHAR(100),NO,YES,YES,Email address for notifications and contact,"Text, valid email format. Used for daily report delivery and system notifications.",,,,
role,USER,ENUM,YES,NO,NO,User role/permission level,"Allowed values: OPERATOR_DATAENTRY, LEADER_DATACONFIG, POWERUSER, ADMIN. Determines system access and override permissions.",,,,
client_id_assigned,USER,VARCHAR(20),NO,YES,NO,Client(s) this user has access to (for data entry operators),"Foreign key to CLIENT table, or COMMA-SEPARATED list for multi-client access. OPERATOR roles typically restricted to 1 client, LEADER/POWERUSER/ADMIN can have multiple.",,,,
is_active,USER,BOOLEAN,YES,NO,NO,Is this user account active?,TRUE or FALSE. Default: TRUE. Set to FALSE to deactivate without deleting.,,,,
last_login,USER,TIMESTAMP,NO,YES,YES,Timestamp of last system login,ISO 8601: YYYY-MM-DD HH:MM:SS (UTC). Used for activity tracking and account status monitoring.,,,,
created_at,USER,TIMESTAMP,NO,NO,YES,When user account was created,ISO 8601: YYYY-MM-DD HH:MM:SS (UTC). System-generated.,,,,
updated_at,USER,TIMESTAMP,NO,NO,YES,Last update to user record,ISO 8601: YYYY-MM-DD HH:MM:SS (UTC). System-generated.,,,,
part_number,PART_OPPORTUNITIES,VARCHAR(50),YES,NO,NO,Part/SKU identifier,"Text, alphanumeric. Must match part_number in JOB table. Examples: 'BOOT-ABC123', 'SOCK-XYZ789'.",,,,
opportunities_per_unit,PART_OPPORTUNITIES,INT,YES,NO,NO,Number of defect opportunities per unit for DPMO calculation,"Positive integer. Examples: 1 (simple single-point failure), 47 (complex garment with 47 check points). Used for Quality DPMO calculation (KPI #5).",,,,
description,PART_OPPORTUNITIES,VARCHAR(200),NO,YES,YES,Description of part and its opportunities,"Free text. Example: 'Western Boot - opportunities: toe box seam, heel seam, sole adhesion, stitching integrity, fit, color, material defects, etc.'.",,,,
updated_by,PART_OPPORTUNITIES,VARCHAR(20),NO,NO,YES,User ID who last updated opportunities count,Foreign key to USER table. Usually Quality or Engineering. Audit trail for spec changes.,,,,
updated_at,PART_OPPORTUNITIES,TIMESTAMP,NO,NO,YES,Last update timestamp,ISO 8601: YYYY-MM-DD HH:MM:SS (UTC). Engineering/Quality updates as specs change.,,,,
